database,series,ni_at,T_C,label,fraction,alpha_solvus_C
mpea-02b,C_measured,4.2,1000.0,A1_FCC,0.9999999999996665,1340.0
mpea-02b,C_measured,4.2,1010.0,A1_FCC,0.9999999999876084,1340.0
mpea-02b,C_measured,4.2,1020.0,A1_FCC,1.0000000000006546,1340.0
mpea-02b,C_measured,4.2,1030.0,A1_FCC,0.9999999999751485,1340.0
mpea-02b,C_measured,4.2,1040.0,A1_FCC,1.0000000000102978,1340.0
mpea-02b,C_measured,4.2,1050.0,A1_FCC,1.0000000000198095,1340.0
mpea-02b,C_measured,4.2,1060.0,B2_BCC[A2],0.03679090242959407,1340.0
mpea-02b,C_measured,4.2,1060.0,A1_FCC,0.9632090975893016,1340.0
mpea-02b,C_measured,4.2,1070.0,B2_BCC[A2],0.08887207623485074,1340.0
mpea-02b,C_measured,4.2,1070.0,A1_FCC,0.9111279237144808,1340.0
mpea-02b,C_measured,4.2,1080.0,A1_FCC,0.8583086243016557,1340.0
mpea-02b,C_measured,4.2,1080.0,B2_BCC[A2],0.14169137569587065,1340.0
mpea-02b,C_measured,4.2,1090.0,A1_FCC,0.8049553777434892,1340.0
mpea-02b,C_measured,4.2,1090.0,B2_BCC[A2],0.19504462225457253,1340.0
mpea-02b,C_measured,4.2,1100.0,B2_BCC[A2],0.24866314144194435,1340.0
mpea-02b,C_measured,4.2,1100.0,A1_FCC,0.7513368585564714,1340.0
mpea-02b,C_measured,4.2,1110.0,A1_FCC,0.6977905785639289,1340.0
mpea-02b,C_measured,4.2,1110.0,B2_BCC[A2],0.3022094214272758,1340.0
mpea-02b,C_measured,4.2,1120.0,B2_BCC[A2],0.3552792774000747,1340.0
mpea-02b,C_measured,4.2,1120.0,A1_FCC,0.64472072258811,1340.0
mpea-02b,C_measured,4.2,1130.0,A1_FCC,0.5925862520849278,1340.0
mpea-02b,C_measured,4.2,1130.0,B2_BCC[A2],0.40741374789779455,1340.0
mpea-02b,C_measured,4.2,1140.0,A1_FCC,0.5418769516974034,1340.0
mpea-02b,C_measured,4.2,1140.0,B2_BCC[A2],0.4581230482803604,1340.0
mpea-02b,C_measured,4.2,1150.0,A1_FCC,0.4930777281873003,1340.0
mpea-02b,C_measured,4.2,1150.0,B2_BCC[A2],0.5069222718221813,1340.0
mpea-02b,C_measured,4.2,1160.0,A1_FCC,0.44662556599769876,1340.0
mpea-02b,C_measured,4.2,1160.0,B2_BCC[A2],0.5533744340449065,1340.0
mpea-02b,C_measured,4.2,1170.0,A1_FCC,0.40286755781196903,1340.0
mpea-02b,C_measured,4.2,1170.0,B2_BCC[A2],0.5971324422348949,1340.0
mpea-02b,C_measured,4.2,1180.0,A1_FCC,0.3620299368184793,1340.0
mpea-02b,C_measured,4.2,1180.0,B2_BCC[A2],0.6379700632333857,1340.0
mpea-02b,C_measured,4.2,1190.0,A1_FCC,0.32420543746736635,1340.0
mpea-02b,C_measured,4.2,1190.0,B2_BCC[A2],0.6757945625513893,1340.0
mpea-02b,C_measured,4.2,1200.0,B2_BCC[A2],0.7106395074940697,1340.0
mpea-02b,C_measured,4.2,1200.0,A1_FCC,0.28936049250286977,1340.0
mpea-02b,C_measured,4.2,1210.0,A1_FCC,0.25735778931050307,1340.0
mpea-02b,C_measured,4.2,1210.0,B2_BCC[A2],0.742642210696077,1340.0
mpea-02b,C_measured,4.2,1220.0,B2_BCC[A2],0.7720135409210233,1340.0
mpea-02b,C_measured,4.2,1220.0,A1_FCC,0.22798645910676194,1340.0
mpea-02b,C_measured,4.2,1230.0,B2_BCC[A2],0.7990075582543773,1340.0
mpea-02b,C_measured,4.2,1230.0,A1_FCC,0.200992441726355,1340.0
mpea-02b,C_measured,4.2,1240.0,A1_FCC,0.1761040739766694,1340.0
mpea-02b,C_measured,4.2,1240.0,B2_BCC[A2],0.8238959260246403,1340.0
mpea-02b,C_measured,4.2,1250.0,A1_FCC,0.15307057356748288,1340.0
mpea-02b,C_measured,4.2,1250.0,B2_BCC[A2],0.8469294264287945,1340.0
mpea-02b,C_measured,4.2,1260.0,B2_BCC[A2],0.8684040743221557,1340.0
mpea-02b,C_measured,4.2,1260.0,A1_FCC,0.13159592567783945,1340.0
mpea-02b,C_measured,4.2,1270.0,B2_BCC[A2],0.8885319740390826,1340.0
mpea-02b,C_measured,4.2,1270.0,A1_FCC,0.11146802592904963,1340.0
mpea-02b,C_measured,4.2,1280.0,A1_FCC,0.09247439408422195,1340.0
mpea-02b,C_measured,4.2,1280.0,B2_BCC[A2],0.9075256059160883,1340.0
mpea-02b,C_measured,4.2,1290.0,B2_BCC[A2],0.9255756760136736,1340.0
mpea-02b,C_measured,4.2,1290.0,A1_FCC,0.07442432398596151,1340.0
mpea-02b,C_measured,4.2,1300.0,A1_FCC,0.05714799104488467,1340.0
mpea-02b,C_measured,4.2,1300.0,B2_BCC[A2],0.9428520089580783,1340.0
mpea-02b,C_measured,4.2,1310.0,B2_BCC[A2],0.9595053454602214,1340.0
mpea-02b,C_measured,4.2,1310.0,A1_FCC,0.04049465455654183,1340.0
mpea-02b,C_measured,4.2,1320.0,A1_FCC,0.024330462606982108,1340.0
mpea-02b,C_measured,4.2,1320.0,B2_BCC[A2],0.975669537355929,1340.0
mpea-02b,C_measured,4.2,1330.0,A1_FCC,0.008536168045163012,1340.0
mpea-02b,C_measured,4.2,1330.0,B2_BCC[A2],0.9914638319460533,1340.0
mpea-02b,C_measured,4.2,1340.0,B2_BCC[A2],0.9999999999823634,1340.0
mpea-02b,C_measured,4.2,1350.0,B2_BCC[A2],1.0000000000005547,1340.0
mpea-02b,C_measured,4.2,1360.0,B2_BCC[A2],1.0000000000090328,1340.0
mpea-02b,C_measured,4.2,1370.0,B2_BCC[A2],1.0000000000122715,1340.0
mpea-02b,C_measured,4.2,1380.0,B2_BCC[A2],0.9999999999967231,1340.0
mpea-02b,C_measured,4.2,1390.0,B2_BCC[A2],0.9999999999982926,1340.0
mpea-02b,C_measured,4.2,1400.0,B2_BCC[A2],1.000000000000702,1340.0
mpea-02b,C_measured,4.2,425.0,A1_FCC,0.8089556010739283,1340.0
mpea-02b,C_measured,4.2,425.0,CUB_A13,0.08196397648645874,1340.0
mpea-02b,C_measured,4.2,425.0,B2_BCC[ordered],0.10739181716681498,1340.0
mpea-02b,C_measured,4.2,425.0,M23C6_D84,0.0016886049620862412,1340.0
mpea-02b,C_measured,4.2,450.0,A1_FCC,0.8945658484603961,1340.0
mpea-02b,C_measured,4.2,450.0,B2_BCC[ordered],0.10543415153392577,1340.0
mpea-02b,C_measured,4.2,475.0,A1_FCC,0.8976191206919645,1340.0
mpea-02b,C_measured,4.2,475.0,B2_BCC[ordered],0.1023808793385305,1340.0
mpea-02b,C_measured,4.2,500.0,A1_FCC,0.9011277668670601,1340.0
mpea-02b,C_measured,4.2,500.0,B2_BCC[ordered],0.09887223312168539,1340.0
mpea-02b,C_measured,4.2,525.0,A1_FCC,0.9050951315631758,1340.0
mpea-02b,C_measured,4.2,525.0,B2_BCC[ordered],0.09490486843699768,1340.0
mpea-02b,C_measured,4.2,550.0,A1_FCC,0.9095201655682826,1340.0
mpea-02b,C_measured,4.2,550.0,B2_BCC[ordered],0.09047983441671609,1340.0
mpea-02b,C_measured,4.2,575.0,A1_FCC,0.9143980692158932,1340.0
mpea-02b,C_measured,4.2,575.0,B2_BCC[ordered],0.08560193076459983,1340.0
mpea-02b,C_measured,4.2,600.0,A1_FCC,0.9197210927857292,1340.0
mpea-02b,C_measured,4.2,600.0,B2_BCC[ordered],0.0802789072192876,1340.0
mpea-02b,C_measured,4.2,625.0,B2_BCC[ordered],0.07452054017107697,1340.0
mpea-02b,C_measured,4.2,625.0,A1_FCC,0.9254794598242746,1340.0
mpea-02b,C_measured,4.2,650.0,A1_FCC,0.931662381232164,1340.0
mpea-02b,C_measured,4.2,650.0,B2_BCC[ordered],0.06833761873199157,1340.0
mpea-02b,C_measured,4.2,675.0,B2_BCC[ordered],0.061740861634410026,1340.0
mpea-02b,C_measured,4.2,675.0,A1_FCC,0.9382591383597475,1340.0
mpea-02b,C_measured,4.2,700.0,A1_FCC,0.9452602340724776,1340.0
mpea-02b,C_measured,4.2,700.0,B2_BCC[ordered],0.05473976592528713,1340.0
mpea-02b,C_measured,4.2,725.0,A1_FCC,0.952658644171152,1340.0
mpea-02b,C_measured,4.2,725.0,B2_BCC[ordered],0.047341355858880226,1340.0
mpea-02b,C_measured,4.2,750.0,B2_BCC[ordered],0.03954875172277927,1340.0
mpea-02b,C_measured,4.2,750.0,A1_FCC,0.9604512482834231,1340.0
mpea-02b,C_measured,4.2,775.0,B2_BCC[ordered],0.031359403024120096,1340.0
mpea-02b,C_measured,4.2,775.0,A1_FCC,0.9686405969775782,1340.0
mpea-02b,C_measured,4.2,800.0,A1_FCC,0.9772372990205166,1340.0
mpea-02b,C_measured,4.2,800.0,B2_BCC[ordered],0.02276270098047866,1340.0
mpea-02b,C_measured,4.2,825.0,B2_BCC[ordered],0.013736446870524723,1340.0
mpea-02b,C_measured,4.2,825.0,A1_FCC,0.986263553204634,1340.0
mpea-02b,C_measured,4.2,850.0,A1_FCC,0.9957588363696688,1340.0
mpea-02b,C_measured,4.2,850.0,B2_BCC[ordered],0.0042411636596316445,1340.0
mpea-02b,C_measured,4.2,875.0,A1_FCC,0.9999999999840665,1340.0
mpea-02b,C_measured,4.2,900.0,A1_FCC,0.9999999999768107,1340.0
mpea-02b,C_measured,4.2,925.0,A1_FCC,1.0000000000200833,1340.0
